代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10742690.3100000005
真實報酬,742690.3100000005
趨勢值,1.2006625677

選擇檔數,5
找到最佳解世代,2089
找到最佳解實驗,1
Stock#,AAPL,IBM,JNJ,PFE,UTX,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,34211,10455,23086,71994,21110,
剩餘資金,24.9400000000,167.6000000000,59.8200000001,6.6799999999,38.6000000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2045158.5200000000,2002300.1000000001,1998614.8399999999,1994240.4800000000,1980156.6000000001,10020470.5399999991,
FS(3),2056448.1499999999,2020596.3500000001,2003462.9000000001,1990640.7799999998,1999788.9000000001,10070937.0800000001,
FS(4),2040026.8700000001,2038160.7500000002,2028626.6400000001,2013678.8599999999,2037786.9000000001,10158280.0200000014,
FS(5),2028395.1299999999,2038683.5000000000,2045248.5600000001,2025197.8999999999,2047286.4000000001,10184811.4900000002,
FS(6),2064316.6800000002,2000209.1000000003,2051943.5000000000,2041036.5800000001,2069240.8000000000,10226746.6600000001,
FS(7),2056106.0400000000,2010141.3500000001,2060254.4600000000,2047516.0400000000,2064385.5000000002,10238403.3900000006,
FS(8),2088264.3799999999,2015891.6000000003,2070181.4400000002,2071274.0599999998,2104494.5000000000,10350105.9800000004,
FS(9),2084501.1699999999,2008259.4500000000,2077568.9600000000,2074153.8199999998,2107449.8999999999,10351933.3000000007,
FS(10),2088948.6000000001,2028437.6000000001,2087034.2200000002,2072713.9399999999,2116105.0000000000,10393239.3600000013,
FS(11),2102633.0000000000,2026869.3500000001,2087034.2200000002,2064794.5999999999,2110827.5000000000,10392158.6699999999,
FS(12),2102975.1099999999,2034187.8500000003,2080801.0000000000,2064794.5999999999,2129193.2000000002,10411951.7599999998,
FS(13),2110159.4199999999,2070153.0500000003,2081724.4400000002,2051115.7399999998,2139326.0000000000,10452478.6500000004,
FS(14),2076974.7500000000,2023628.3000000000,2129281.6000000006,2094312.1399999999,2163391.4000000004,10487588.1900000013,
FS(15),2083474.8399999999,2029378.5500000000,2130435.9000000004,2113030.5799999996,2155580.7000000002,10511900.5700000003,
FS(16),2047895.3999999999,2038683.5000000000,2133667.9400000004,2118070.1599999997,2219121.8000000003,10557438.8000000007,
FS(17),2152923.1699999999,2055725.1500000001,2132282.7800000003,2107991.0000000000,2216377.5000000000,10665299.6000000015,
FS(18),2143001.9800000000,2062102.7000000002,2137130.8400000003,2101511.5399999996,2212155.5000000000,10655902.5600000005,
FS(19),2155317.9399999999,2063461.8500000001,2143133.2000000002,2114470.4600000000,2215955.3000000003,10692338.7500000000,
FS(20),2188502.6099999999,2051543.1500000001,2151905.8800000004,2126709.4399999995,2218066.2999999998,10736727.3799999990,
FS(21),2215529.3000000003,2049452.1499999999,2150982.4400000004,2136068.6599999997,2228621.2999999998,10780653.8499999996,
FS(22),2211766.0900000003,2039310.8000000000,2158600.8200000003,2104391.2999999998,2228621.2999999998,10742690.3100000005,
