代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10502174.4700000007
真實報酬,502174.4700000007
趨勢值,1.3430771364

選擇檔數,6
找到最佳解世代,2430
找到最佳解實驗,1
Stock#,IBM,JNJ,KO,PG,UNH,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,12403,15544,38147,20517,13698,25077,
剩餘資金,74.8899999999,38.3200000000,23.5700000001,70.0899999999,30.3400000000,48.5800000002,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1690603.7900000000,1663868.0800000001,1669717.7600000002,1693748.4399999997,1661186.8000000000,1660396.7500000000,10039525.6200000010,
FS(3),1709208.2900000000,1657805.9200000002,1676965.6900000002,1699698.3699999999,1668720.7000000000,1658641.3600000001,10071044.3300000001,
FS(4),1709208.2900000000,1655474.3200000001,1682687.7400000000,1713034.4199999997,1668446.7400000000,1674690.6400000001,10103546.1500000022,
FS(5),1738355.3400000001,1659204.8799999999,1678873.0400000000,1705032.7899999998,1667898.8200000001,1702526.1100000001,10151894.9800000004,
FS(6),1724960.0999999999,1651122.0000000000,1690698.6100000001,1704212.1099999999,1666529.0200000000,1706287.6600000001,10143813.5000000019,
FS(7),1741580.1199999999,1660759.2800000000,1709390.6400000001,1702160.4099999997,1658858.1399999999,1693498.3900000001,10166250.9800000023,
FS(8),1738851.4600000000,1665422.4800000000,1725412.3799999999,1688208.8499999999,1672419.1600000001,1690489.1499999999,10180807.4800000004,
FS(9),1765765.9700000000,1674282.5600000001,1724267.9700000002,1677334.8399999999,1713650.1399999999,1684470.6700000002,10239776.1500000004,
FS(10),1770975.2300000000,1673505.3600000001,1727701.2000000000,1665434.9800000000,1715293.9000000001,1689235.3000000000,10242149.9700000007,
FS(11),1773207.7700000000,1675059.7600000002,1725793.8500000001,1668307.3599999999,1710225.6399999999,1707541.5100000002,10260139.8900000025,
FS(12),1795905.2599999998,1669619.3600000001,1718545.9199999999,1668922.8699999999,1710910.5400000003,1705033.8100000001,10268941.7600000016,
FS(13),1823812.0099999998,1659204.8799999999,1746011.7600000002,1697851.8399999999,1705842.2800000000,1691492.2300000002,10324219.0000000019,
FS(14),1824432.1599999999,1671018.3200000001,1739526.7700000000,1706058.6399999999,1735840.9000000001,1678953.7300000002,10355834.5200000014,
FS(15),1843532.7799999998,1667598.6400000001,1742197.0600000001,1709546.5299999998,1736114.8600000001,1704532.2700000000,10403526.1400000006,
FS(16),1836959.1899999997,1669153.0400000000,1735712.0700000001,1697646.6699999997,1753648.3000000003,1702024.5700000003,10395147.8400000017,
FS(17),1803471.0900000001,1686562.3200000001,1734186.1900000002,1699288.0299999998,1777893.7600000000,1691743.0000000000,10393148.3900000006,
FS(18),1835098.7399999998,1683608.9600000002,1738763.8300000001,1700724.2200000000,1761456.1600000001,1705284.5800000001,10424940.4900000002,
FS(19),1840680.0900000001,1682365.4400000002,1747156.1699999999,1695184.6299999999,1765976.5000000000,1708293.8200000003,10439660.6500000004,
FS(20),1852214.8800000001,1696510.4800000000,1773096.1299999999,1698877.6899999997,1778441.6800000002,1706036.8900000001,10505181.7500000019,
FS(21),1840804.1199999999,1694023.4400000002,1776910.8300000001,1696415.6499999999,1776386.9800000002,1725346.1799999999,10509891.2000000011,
FS(22),1878509.2399999998,1681899.1200000001,1769662.9000000001,1688824.3599999999,1765702.5400000003,1717572.3100000001,10502174.4700000007,
