代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10392400.2400000002
真實報酬,392400.2400000002
趨勢值,1.1328104636

選擇檔數,8
找到最佳解世代,3193
找到最佳解實驗,8
Stock#,BA,CVX,JPM,MRK,TRV,UNH,V,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,3621,10756,9780,14716,9562,4956,6908,10627,
剩餘資金,67.0100000000,45.2400000001,116.0000000000,22.9600000000,55.3600000000,47.2400000000,135.5600000000,52.2600000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1271363.8999999999,1307652.1599999999,1259975.5999999999,1234695.3600000001,1245027.7600000000,1245242.2400000000,1236322.1599999999,1249468.6499999999,10049747.8300000019,
FS(3),1297435.1000000001,1311631.8799999999,1262714.0000000000,1220273.6799999999,1255259.1000000001,1240534.0400000000,1218499.5200000000,1263177.4800000000,10069524.8000000026,
FS(4),1282589.0000000000,1289689.6400000001,1264670.0000000000,1225129.9600000000,1265586.0600000001,1241624.3600000001,1221262.7200000002,1269978.7600000000,10060530.5000000019,
FS(5),1275165.9500000000,1311094.0800000001,1264670.0000000000,1219685.0399999998,1271896.9800000000,1271063.0000000000,1232730.0000000000,1277736.4700000000,10124041.5200000014,
FS(6),1271038.0100000000,1300768.3200000001,1275232.3999999999,1230133.3999999999,1274574.3400000001,1273590.5600000001,1236460.3200000001,1269341.1399999999,10131138.4900000021,
FS(7),1328829.1699999999,1299477.6000000001,1270733.5999999999,1225571.4399999999,1276964.8400000001,1259317.2800000000,1240397.8799999999,1265090.3400000001,10166382.1500000004,
FS(8),1314055.4900000000,1301091.0000000000,1263300.8000000000,1237932.8800000001,1275148.0600000001,1265066.2400000000,1241779.4800000002,1265940.5000000000,10164314.4500000011,
FS(9),1312679.5100000000,1315288.9199999999,1256650.3999999999,1248234.0799999998,1282606.4200000002,1256740.1599999999,1239499.8400000001,1285706.7200000000,10197406.0500000007,
FS(10),1330567.2500000000,1311847.0000000000,1257824.0000000000,1244260.7600000000,1280885.2600000000,1267940.7200000000,1241848.5600000001,1282199.8100000001,10217373.3600000013,
FS(11),1345920.2900000000,1297649.0800000001,1266919.3999999999,1249411.3600000001,1277251.7000000000,1335193.6399999999,1241986.7200000002,1263283.7500000000,10277615.9399999995,
FS(12),1337881.6699999999,1275169.0400000000,1277579.6000000001,1238080.0399999998,1284136.3400000001,1352688.3200000001,1241226.8400000001,1277949.0100000000,10284710.8599999994,
FS(13),1328974.0100000000,1252581.4399999999,1277188.4000000001,1245732.3600000001,1295323.8800000001,1359131.1200000001,1262710.7200000002,1274123.2900000000,10295765.2200000007,
FS(14),1343132.1200000001,1262154.2800000000,1267897.3999999999,1254856.2799999998,1295037.0200000003,1365722.6000000001,1255042.8400000001,1266046.7700000000,10309889.3100000005,
FS(15),1326946.2500000000,1277535.3599999999,1270831.4000000001,1257652.3199999998,1287961.1400000001,1370629.0400000000,1242815.6799999999,1273804.4800000000,10308175.6700000018,
FS(16),1344689.1499999999,1276029.5200000000,1279242.2000000000,1257505.1599999999,1292168.4200000002,1372066.2799999998,1239914.3200000001,1268490.9800000000,10330106.0300000012,
FS(17),1351170.7400000000,1273340.5200000000,1286088.2000000002,1261184.1599999999,1291212.2200000002,1400959.7600000000,1250276.3200000001,1263815.1000000001,10378047.0200000014,
FS(18),1352546.7200000000,1266994.4800000000,1287848.5999999999,1285318.3999999999,1306989.5200000003,1394665.6399999999,1261190.9600000002,1266684.3899999999,10422238.7100000009,
FS(19),1332595.0100000000,1270006.1599999999,1291662.8000000000,1289291.7200000000,1308519.4400000002,1391047.7600000000,1273763.5200000000,1262114.7800000000,10419001.1900000013,
FS(20),1326004.7900000000,1259895.5200000000,1288728.7999999998,1282963.8400000001,1307372.0000000000,1387082.9600000000,1274730.6399999999,1265621.6899999999,10392400.2400000002,
