代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10541342.5800000019
真實報酬,541342.5800000019
趨勢值,0.6585270515

選擇檔數,5
找到最佳解世代,1963
找到最佳解實驗,1
Stock#,AAPL,GS,IBM,MCD,PG,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,9923,9668,14297,9694,18101,
剩餘資金,19.3499999999,77.5199999999,135.6400000001,127.7999999999,20.5100000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2011709.1399999997,1991492.1599999997,2004860.9800000002,2031796.3199999998,2017919.9900000000,10057778.5899999999,
FS(3),2028379.7799999998,1992072.2399999998,2023733.0200000000,2063107.9399999999,2064982.5900000001,10172275.5699999984,
FS(4),2026593.6399999997,2010054.7199999997,2021445.5000000000,2047888.3599999999,2048148.6600000001,10154130.8800000008,
FS(5),1984817.8100000001,1989268.5199999998,2009864.9299999999,2056806.8399999999,2064439.5600000001,10105197.6600000001,
FS(6),1996923.8699999999,2008797.8799999999,1992136.6500000004,2056128.2599999998,2043804.4199999999,10097791.0800000001,
FS(7),2016670.6399999997,1991395.4799999997,2008435.2300000002,2064949.7999999998,2059009.2600000000,10140460.4100000001,
FS(8),2001984.5999999999,2043409.3199999998,2019443.9200000002,2061944.6599999997,2070412.8899999999,10197195.3900000006,
FS(9),2017365.2500000000,2068449.4399999997,2040889.4200000002,2064852.8599999999,2081454.5000000000,10273011.4700000007,
FS(10),2036318.1799999999,2045632.9600000000,2049181.6799999999,2076679.5399999998,2090323.9900000000,10298136.3499999996,
FS(11),2029272.8499999999,2083724.8799999999,2052184.0500000000,2071929.4799999997,2097745.4000000004,10334856.6600000001,
FS(12),2017861.3999999999,2062261.9199999999,2045607.4299999999,2071832.5399999998,2098650.4500000002,10296213.7400000002,
FS(13),2040783.5299999998,2074056.8799999999,2139395.7500000000,2093159.3399999999,2089599.9500000000,10436995.4500000011,
FS(14),2010319.9199999999,2064388.8799999999,2140110.6000000001,2073383.5799999998,2081816.5200000000,10370019.5000000019,
FS(15),2056263.4099999999,2069029.5199999998,2140968.4200000004,2084337.7999999998,2087065.8100000001,10437664.9600000009,
FS(16),2072338.6699999999,2121526.7600000002,2150118.5000000000,2077648.9399999999,2060819.3599999999,10482452.2300000004,
FS(17),2070651.7599999998,2146663.5600000001,2145114.5500000003,2062817.1199999999,2038193.1099999999,10463440.0999999996,
FS(18),2054278.8100000001,2126844.1600000001,2150261.4699999997,2078909.1599999997,2041270.2800000000,10451563.8799999990,
FS(19),2061423.3699999999,2147727.0400000000,2164129.5600000005,2089960.3199999998,2076748.2400000000,10539988.5300000012,
FS(20),2080673.9900000000,2130131.2799999998,2157267.0000000000,2084143.9199999997,2099736.5100000002,10551952.7000000011,
FS(21),2071743.2899999998,2140572.7200000002,2141397.3300000001,2058551.7599999998,2179561.9200000004,10591827.0200000014,
FS(22),2114015.2700000000,2128294.3599999999,2119522.9200000004,2042847.4799999997,2136662.5500000003,10541342.5800000019,
