代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10526936.4100000001
真實報酬,526936.4100000001
趨勢值,1.3115719188

選擇檔數,7
找到最佳解世代,2482
找到最佳解實驗,1
Stock#,AAPL,DD,KO,MCD,MSFT,PG,V,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,7470,18433,30577,7583,12002,13783,9084,
剩餘資金,8.1999999999,13.5000000000,13.5600000000,9.6300000001,92.9600000000,100.8800000000,21.1600000001,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1449337.6000000001,1424147.0800000001,1423984.4500000000,1428267.6800000002,1430611.3399999999,1430087.1299999999,1433294.6800000002,10019732.9600000009,
FS(3),1459272.7000000000,1457695.1399999999,1412059.4200000002,1428267.6800000002,1439972.8999999999,1429260.1499999999,1439471.8000000003,10066002.7900000010,
FS(4),1461812.5000000000,1474469.1699999999,1421232.5200000000,1439793.8400000001,1432651.6799999999,1425676.5700000001,1432022.9199999999,10087662.1999999993,
FS(5),1471598.2000000000,1479077.4199999999,1420926.7500000000,1446163.5600000003,1439012.7400000000,1428708.8300000001,1432113.7600000002,10117604.2599999998,
FS(6),1494755.2000000000,1488478.2500000000,1423372.9099999999,1439642.1800000002,1439492.8200000001,1446902.3899999999,1433022.1600000001,10165668.9100000001,
FS(7),1490273.2000000000,1491611.8600000001,1427042.1500000001,1441386.2700000003,1431691.5200000000,1442629.6599999999,1430660.3200000003,10155297.9800000004,
FS(8),1498639.6000000001,1502487.3300000001,1426124.8400000001,1434864.8900000001,1442613.3399999999,1442491.8300000001,1440380.2000000002,10187605.0299999993,
FS(9),1486164.7000000000,1517786.7200000000,1428265.2300000000,1432286.6700000002,1444293.6199999999,1443870.1299999999,1434021.4000000004,10186691.4700000007,
FS(10),1485567.1000000001,1540459.3099999998,1429182.5400000000,1452912.4300000002,1451734.8600000001,1448142.8599999999,1450190.9199999999,10258193.0200000014,
FS(11),1488256.2999999998,1518155.3799999999,1437132.5600000001,1454808.1800000002,1452935.0599999998,1457377.4700000000,1457458.1200000001,10266126.0700000022,
FS(12),1488405.7000000000,1527924.8700000001,1435603.7100000002,1453670.7300000000,1449574.5000000000,1466887.7400000000,1455550.4800000000,10277620.7300000004,
FS(13),1517389.2999999998,1529768.1699999999,1445694.1200000001,1452988.2600000002,1461576.5000000000,1459031.4299999997,1457458.1200000001,10323908.9000000004,
FS(14),1522842.4000000001,1522026.3099999998,1451809.5200000000,1478012.1600000001,1480779.7000000000,1461788.0299999998,1454914.6000000001,10372175.7200000007,
FS(15),1527847.3000000000,1495482.7899999998,1449363.3600000001,1470504.9900000000,1485460.4800000000,1461236.7100000000,1457094.7600000002,10346993.3900000006,
FS(16),1549883.7999999998,1494008.1499999999,1474130.7300000000,1480666.2100000000,1505623.8399999999,1421955.1599999999,1468540.6000000001,10394811.4900000002,
FS(17),1547493.3999999999,1494376.8099999998,1467098.0200000000,1498637.9200000002,1500462.9800000000,1429260.1499999999,1466996.3200000003,10404328.6000000015,
FS(18),1533449.8000000000,1467464.6299999999,1462817.2400000002,1500912.8200000001,1550151.2600000000,1423609.1199999999,1462726.8400000003,10401134.7100000009,
FS(19),1526129.2000000000,1482948.3500000001,1475659.5800000001,1497045.4900000000,1559032.7399999998,1459169.2599999998,1480077.2800000003,10480064.9000000004,
FS(20),1528444.9000000001,1481473.7100000002,1480551.9000000001,1494770.5900000001,1557592.5000000000,1444283.6199999999,1491159.7600000002,10478279.9800000004,
FS(21),1499013.0999999999,1500644.0300000000,1500121.1800000002,1498182.9400000002,1567554.1599999999,1467714.7200000000,1493703.2800000003,10526936.4100000001,
