代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11026036.1400000006
真實報酬,1026036.1400000006
趨勢值,0.1863896246

選擇檔數,3
找到最佳解世代,1666
找到最佳解實驗,1
Stock#,AAPL,BA,CVX,
分配資金,3333333,3333333,3333333,
張數,31231,25660,33263,
剩餘資金,48.3699999999,98.9999999999,47.7700000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000019,
FS(2),3364564.0000000000,3365664.6000000001,3357282.3600000003,10087511.9600000009,
FS(3),3363627.0699999998,3412622.4000000004,3407176.8600000003,10183427.3300000019,
FS(4),3384239.5299999998,3403641.3999999994,3422145.2100000000,10210027.1400000006,
FS(5),3295543.4899999993,3410313.0000000000,3463391.3300000001,10169248.8200000003,
FS(6),3220901.3999999994,3298178.7999999998,3368591.7799999998,9887672.9800000004,
FS(7),3293045.0099999998,3338978.2000000002,3401189.5200000000,10033213.7300000004,
FS(8),3371434.8199999998,3304080.5999999996,3307387.8600000003,9982904.2800000012,
FS(9),3490737.2399999993,3276111.2000000002,3273792.2300000000,10040641.6699999999,
FS(10),3609415.0399999996,3278677.1999999997,3309716.2700000000,10197809.5100000016,
FS(11),3589114.8899999997,3251221.0000000000,3254499.6899999999,10094836.5800000019,
FS(12),3547265.3499999996,3271235.8000000003,3261152.2900000000,10079654.4400000013,
FS(13),3546953.0399999996,3279190.4000000004,3249842.8700000001,10075987.3100000005,
FS(14),3546328.4199999995,3350268.6000000001,3314040.4600000000,10210638.4800000004,
FS(15),3579745.5899999999,3383883.2000000002,3325682.5100000002,10289312.3000000007,
FS(16),3520094.3799999994,3381573.7999999998,3300402.6299999999,10202071.8100000005,
FS(17),3525403.6499999994,3350525.1999999997,3285766.9100000001,10161696.7599999998,
FS(18),3531962.1599999997,3369770.1999999997,3292419.5100000002,10194152.8700000010,
FS(19),3558820.8199999998,3393120.7999999998,3397863.2200000002,10349805.8400000017,
FS(20),3503541.9499999997,3362328.7999999998,3368591.7799999998,10234463.5300000012,
FS(21),3530712.9199999995,3380547.4000000004,3423475.7300000000,10334737.0500000007,
FS(22),3514160.4899999993,3396969.7999999998,3407842.1200000001,10318973.4100000001,
FS(23),3529151.3699999996,3393634.0000000000,3368591.7799999998,10291378.1500000004,
FS(24),3530712.9199999995,3455474.6000000001,3400524.2600000002,10386712.7799999993,
FS(25),3556946.9599999995,3449316.1999999997,3398861.1100000003,10405125.2699999996,
FS(26),3562256.2299999995,3434690.0000000000,3401854.7799999998,10398802.0099999998,
FS(27),3624405.9199999995,3485753.3999999999,3458734.5100000002,10568894.8300000001,
FS(28),3632213.6699999995,3431867.4000000004,3427467.2900000000,10491549.3600000013,
FS(29),3664693.9099999997,3416984.6000000001,3397863.2200000002,10479542.7300000004,
FS(30),3653450.7500000000,3422629.7999999998,3352625.5400000000,10428707.0900000017,
FS(31),3673750.8999999994,3425709.0000000000,3362271.8100000001,10461732.7099999990,
FS(32),3671252.4199999995,3438539.0000000000,3371585.4500000002,10481377.8700000010,
FS(33),3668753.9399999995,3466765.0000000000,3385888.5400000000,10521408.4800000004,
FS(34),3657823.0899999999,3494477.8000000003,3401854.7799999998,10554156.6700000018,
FS(35),3655949.2299999995,3485753.3999999999,3388549.5800000001,10530253.2100000009,
FS(36),3641582.9699999993,3480364.7999999998,3369589.6699999999,10491538.4399999995,
FS(37),3674375.5200000000,3527065.9999999995,3348301.3500000001,10549743.8700000010,
FS(38),3693114.1199999996,3567352.2000000002,3351960.2799999998,10612427.6000000015,
FS(39),3610039.6599999997,3734655.3999999999,3365930.7399999998,10710626.8000000007,
FS(40),3575373.2500000000,3677433.6000000001,3323686.7300000000,10576494.5800000019,
FS(41),3551637.6899999995,3669735.5999999996,3453412.4299999997,10674786.7200000007,
FS(42),3546016.1099999999,3654852.8000000003,3484347.0200000000,10685216.9299999997,
FS(43),3481992.5599999996,3654339.6000000001,3541892.0100000002,10678225.1699999999,
FS(44),3485115.6599999997,3611744.0000000000,3505635.3399999999,10602496.0000000000,
FS(45),3430149.0999999996,3593012.2000000002,3505635.3399999999,10528797.6400000006,
