代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11164482.4100000001
真實報酬,1164482.4100000001
趨勢值,0.0899807581

選擇檔數,1
找到最佳解世代,2158
找到最佳解實驗,1
Stock#,MCD,
分配資金,10000000,
張數,123487,
剩餘資金,22.7399999995,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9971597.9900000002,9971597.9900000002,
FS(3),9945665.7200000007,9945665.7200000007,
FS(4),9965423.6400000006,9965423.6400000006,
FS(5),10019757.9199999999,10019757.9199999999,
FS(6),10020992.7900000010,10020992.7900000010,
FS(7),10034576.3600000013,10034576.3600000013,
FS(8),9923438.0600000005,9923438.0600000005,
FS(9),9969128.2500000000,9969128.2500000000,
FS(10),10060508.6300000008,10060508.6300000008,
FS(11),10032106.6199999992,10032106.6199999992,
FS(12),10102494.2100000009,10102494.2100000009,
FS(13),10190169.9800000004,10190169.9800000004,
FS(14),10211162.7699999996,10211162.7699999996,
FS(15),10224746.3399999999,10224746.3399999999,
FS(16),10206223.2900000010,10206223.2900000010,
FS(17),10161767.9700000007,10161767.9700000007,
FS(18),10106198.8200000003,10106198.8200000003,
FS(19),10165472.5800000001,10165472.5800000001,
FS(20),10416151.1899999995,10416151.1899999995,
FS(21),10443318.3300000001,10443318.3300000001,
FS(22),10412446.5800000001,10412446.5800000001,
FS(23),10576684.2900000010,10576684.2900000010,
FS(24),10575449.4199999999,10575449.4199999999,
FS(25),10602616.5600000005,10602616.5600000005,
FS(26),10627313.9600000009,10627313.9600000009,
FS(27),10570509.9399999995,10570509.9399999995,
FS(28),10539638.1899999995,10539638.1899999995,
FS(29),10495182.8699999992,10495182.8699999992,
FS(30),10491478.2599999998,10491478.2599999998,
FS(31),10596442.2100000009,10596442.2100000009,
FS(32),10555691.5000000000,10555691.5000000000,
FS(33),10545812.5400000010,10545812.5400000010,
FS(34),10645837.0099999998,10645837.0099999998,
FS(35),10653246.2300000004,10653246.2300000004,
FS(36),10686587.7200000007,10686587.7200000007,
FS(37),10936031.4600000009,10936031.4600000009,
FS(38),10881697.1800000016,10881697.1800000016,
FS(39),10869348.4800000004,10869348.4800000004,
FS(40),10754505.5700000003,10754505.5700000003,
FS(41),10716224.5999999996,10716224.5999999996,
FS(42),10679178.5000000000,10679178.5000000000,
FS(43),10668064.6699999999,10668064.6699999999,
FS(44),10503826.9600000009,10503826.9600000009,
FS(45),10563100.7200000007,10563100.7200000007,
FS(46),10407507.0999999996,10407507.0999999996,
FS(47),10506296.6999999993,10506296.6999999993,
FS(48),10139540.3100000005,10139540.3100000005,
FS(49),10614965.2599999998,10614965.2599999998,
FS(50),10382809.6999999993,10382809.6999999993,
FS(51),10654481.0999999996,10654481.0999999996,
FS(52),10681648.2400000002,10681648.2400000002,
FS(53),10721164.0800000001,10721164.0800000001,
FS(54),10702641.0300000012,10702641.0300000012,
FS(55),10805135.2400000002,10805135.2400000002,
FS(56),10571744.8100000005,10571744.8100000005,
FS(57),10771793.7500000000,10771793.7500000000,
FS(58),10837241.8600000013,10837241.8600000013,
FS(59),11055813.8499999996,11055813.8499999996,
FS(60),11129906.0499999989,11129906.0499999989,
FS(61),10954554.5099999998,10954554.5099999998,
FS(62),11105208.6500000004,11105208.6500000004,
FS(63),11211407.4700000007,11211407.4700000007,
FS(64),11210172.5999999996,11210172.5999999996,
FS(65),11164482.4100000001,11164482.4100000001,
