代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11272630.6900000013
真實報酬,1272630.6900000013
趨勢值,0.1948869640

選擇檔數,3
找到最佳解世代,2047
找到最佳解實驗,1
Stock#,DIS,INTC,PG,
分配資金,3333333,3333333,3333333,
張數,39555,122279,41480,
剩餘資金,33.1500000002,7.4599999998,0.2000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3317906.5500000003,3382244.6000000001,3315496.6000000006,10015648.7500000000,
FS(3),3332146.3500000001,3374907.8600000003,3312593.0000000000,10019648.2100000009,
FS(4),3353506.0500000003,3382244.6000000001,3322963.0000000000,10058714.6500000004,
FS(5),3346781.7000000002,3444606.8900000001,3319644.6000000001,10111034.1900000013,
FS(6),3381194.5500000007,3412814.3500000001,3322133.4000000004,10116143.3000000007,
FS(7),3352319.4000000004,3453166.4199999999,3324622.2000000007,10130109.0200000014,
FS(8),3334915.2000000007,3415259.9299999997,3320889.0000000005,10071065.1300000008,
FS(9),3275187.1500000004,3418928.3000000003,3308445.0000000005,10002561.4500000011,
FS(10),3275187.1500000004,3652481.1899999999,3303467.4000000004,10231136.7400000002,
FS(11),3294964.6500000004,3669600.2500000000,3305541.3999999999,10270107.3000000007,
FS(12),3289426.9500000002,3662263.5099999998,3300978.6000000001,10252670.0600000005,
FS(13),3306040.0500000003,3659817.9299999997,3309689.4000000004,10275548.3800000008,
FS(14),3313555.5000000000,3679382.5699999998,3328355.3999999999,10321294.4700000007,
FS(15),3275978.2500000000,3692833.2599999998,3315496.6000000006,10284309.1099999994,
FS(16),3273604.9500000007,3696501.6299999999,3298489.7999999998,10268597.3800000008,
FS(17),3270440.5500000007,3729516.9600000000,3277335.0000000005,10277293.5100000016,
FS(18),3318697.6500000004,3775982.9800000000,3290193.7999999998,10384875.4299999997,
FS(19),3340452.9000000004,3763755.0800000001,3261157.8000000003,10365366.7800000012,
FS(20),3374074.6500000004,3782096.9299999997,3277749.7999999998,10433922.3800000008,
FS(21),3391478.8500000001,3778428.5599999996,3259913.4000000004,10429821.8100000005,
FS(22),3420354.0000000005,3788210.8799999999,3288534.6000000001,10497100.4800000004,
FS(23),3419167.3500000001,3788210.8799999999,3300149.0000000005,10507528.2300000004,
FS(24),3434989.3500000006,3807775.5200000000,3317570.6000000006,10560336.4700000007,
FS(25),3425100.6000000006,3794324.8300000001,3326281.3999999999,10545707.8300000001,
FS(26),3396225.4500000002,3764977.8699999996,3341629.0000000005,10502833.3200000003,
FS(27),3450020.2500000005,3777205.7700000000,3387671.8000000003,10614898.8200000003,
FS(28),3435780.4500000002,3822449.0000000000,3385183.0000000000,10643413.4500000011,
FS(29),3436967.1000000006,3821226.2100000000,3366517.0000000000,10624711.3100000005,
FS(30),3431824.9500000007,3850573.1699999999,3373153.7999999998,10655552.9199999999,
FS(31),3407696.4000000004,3877474.5500000003,3370665.0000000005,10655836.9500000011,
FS(32),3376052.4000000004,4236974.8099999996,3357391.3999999999,10970419.6099999994,
FS(33),3363394.8000000003,4120809.7600000002,3334992.2000000007,10819197.7600000016,
FS(34),3394247.7000000007,4120809.7600000002,3341214.2000000002,10856272.6600000001,
FS(35),3391478.8500000001,4164830.2000000002,3330014.6000000001,10886324.6500000004,
FS(36),3410069.7000000002,4254093.8700000001,3322548.1999999997,10986712.7699999996,
FS(37),3403345.3500000006,4218632.9600000000,3317985.3999999999,10939964.7100000009,
FS(38),3433407.1500000004,4188063.2100000000,3329185.0000000005,10950656.3600000013,
FS(39),3410860.8000000007,4188063.2100000000,3300149.0000000005,10899074.0100000016,
FS(40),3447251.4000000004,4185617.6299999994,3287705.0000000005,10920575.0300000012,
FS(41),3409674.1500000004,4180726.4699999997,3262402.2000000007,10852803.8200000003,
FS(42),3449624.7000000002,4200291.1100000003,3242077.0000000000,10891993.8100000005,
FS(43),3397016.5500000003,4144042.7700000000,3207233.7999999998,10748294.1200000010,
FS(44),3377239.0500000003,4125700.9200000004,3303882.2000000007,10806823.1700000018,
FS(45),3450811.3500000001,4163607.4099999997,3286045.8000000003,10900465.5600000005,
FS(46),3431429.4000000004,4013204.2400000002,3293927.0000000000,10738561.6400000006,
FS(47),3425100.6000000006,4016872.6100000003,3363613.4000000004,10805587.6100000013,
FS(48),3382381.2000000007,3996085.1799999997,3324207.4000000004,10702674.7800000012,
FS(49),3435384.9000000004,3986302.8600000003,3357806.2000000002,10779494.9600000009,
FS(50),3461095.6500000004,4037660.0400000005,3379790.6000000006,10878547.2900000010,
FS(51),3449624.7000000002,4051110.7300000004,3377301.8000000003,10878038.2300000004,
FS(52),3465051.1500000004,4169721.3600000003,3379790.6000000006,11014564.1100000013,
FS(53),3505001.7000000002,4150156.7199999997,3399286.2000000002,11054445.6200000010,
FS(54),3531503.5500000003,4178280.8900000001,3392234.6000000001,11102020.0400000010,
FS(55),3558796.5000000005,4207627.8499999996,3419611.3999999999,11186036.7500000000,
FS(56),3563543.1000000006,4199068.3200000003,3429981.3999999999,11192593.8200000003,
FS(57),3553654.3500000006,4218632.9600000000,3434959.0000000005,11207247.3100000005,
FS(58),3575014.0500000003,4298114.3099999996,3454454.6000000001,11327583.9600000009,
FS(59),3579365.1000000001,4272435.7199999997,3459017.4000000004,11310819.2199999988,
FS(60),3575014.0500000003,4256539.4500000002,3465239.4000000004,11296793.9000000022,
FS(61),3560774.2500000000,4255316.6599999992,3458602.6000000001,11274694.5099999998,
FS(62),3574618.5000000005,4254093.8700000001,3455699.0000000005,11284412.3700000010,
FS(63),3569080.8000000007,4236974.8099999996,3444084.6000000001,11250141.2100000009,
FS(64),3555236.5500000003,4269990.1400000006,3447403.0000000000,11272630.6900000013,
