Stock#,
趨勢值,0.0000000000
Stock#,AAPL(0)
趨勢值,0.3044512820
Stock#,AXP(1)
趨勢值,0.2727914407
Stock#,AAPL(0)AXP(1)
趨勢值,0.2939243521
Stock#,BA(2)
趨勢值,0.2705549895
Stock#,AAPL(0)BA(2)
趨勢值,0.3537672796
Stock#,AXP(1)BA(2)
趨勢值,0.3276604995
Stock#,AAPL(0)AXP(1)BA(2)
趨勢值,0.3349919528
Stock#,CAT(3)
趨勢值,0.9099805204
Stock#,AAPL(0)CAT(3)
趨勢值,0.4889286995
Stock#,AXP(1)CAT(3)
趨勢值,0.5362852951
Stock#,AAPL(0)AXP(1)CAT(3)
趨勢值,0.4105904579
Stock#,BA(2)CAT(3)
趨勢值,0.4899444579
Stock#,AAPL(0)BA(2)CAT(3)
趨勢值,0.4773081909
Stock#,AXP(1)BA(2)CAT(3)
趨勢值,0.4746988585
Stock#,AAPL(0)AXP(1)BA(2)CAT(3)
趨勢值,0.4260327808
Stock#,CSCO(4)
趨勢值,0.1848116816
Stock#,AAPL(0)CSCO(4)
趨勢值,0.2474065951
Stock#,AXP(1)CSCO(4)
趨勢值,0.2207921758
Stock#,AAPL(0)AXP(1)CSCO(4)
趨勢值,0.2545443255
Stock#,BA(2)CSCO(4)
趨勢值,0.2531941400
Stock#,AAPL(0)BA(2)CSCO(4)
趨勢值,0.2868749006
Stock#,AXP(1)BA(2)CSCO(4)
趨勢值,0.2677009310
Stock#,AAPL(0)AXP(1)BA(2)CSCO(4)
趨勢值,0.2865226065
Stock#,CAT(3)CSCO(4)
趨勢值,0.3596636586
Stock#,AAPL(0)CAT(3)CSCO(4)
趨勢值,0.3423224522
Stock#,AXP(1)CAT(3)CSCO(4)
趨勢值,0.3343424076
Stock#,AAPL(0)AXP(1)CAT(3)CSCO(4)
趨勢值,0.3276487894
Stock#,BA(2)CAT(3)CSCO(4)
趨勢值,0.3715646251
Stock#,AAPL(0)BA(2)CAT(3)CSCO(4)
趨勢值,0.3645585446
Stock#,AXP(1)BA(2)CAT(3)CSCO(4)
趨勢值,0.3561905627
Stock#,AAPL(0)AXP(1)BA(2)CAT(3)CSCO(4)
趨勢值,0.3493743306
Stock#,CVX(5)
趨勢值,0.3349873917
Stock#,AAPL(0)CVX(5)
趨勢值,0.3263424117
Stock#,AXP(1)CVX(5)
趨勢值,0.3075150512
Stock#,AAPL(0)AXP(1)CVX(5)
趨勢值,0.3105501130
Stock#,BA(2)CVX(5)
趨勢值,0.3317461256
Stock#,AAPL(0)BA(2)CVX(5)
趨勢值,0.3575932378
Stock#,AXP(1)BA(2)CVX(5)
趨勢值,0.3389640998
Stock#,AAPL(0)AXP(1)BA(2)CVX(5)
趨勢值,0.3405006355
Stock#,CAT(3)CVX(5)
趨勢值,0.6556382934
Stock#,AAPL(0)CAT(3)CVX(5)
趨勢值,0.4607980774
Stock#,AXP(1)CAT(3)CVX(5)
趨勢值,0.4775036255
Stock#,AAPL(0)AXP(1)CAT(3)CVX(5)
趨勢值,0.4051127974
Stock#,BA(2)CAT(3)CVX(5)
趨勢值,0.4878302827
Stock#,AAPL(0)BA(2)CAT(3)CVX(5)
趨勢值,0.4561371096
Stock#,AXP(1)BA(2)CAT(3)CVX(5)
趨勢值,0.4522417330
Stock#,AAPL(0)AXP(1)BA(2)CAT(3)CVX(5)
趨勢值,0.4170792897
Stock#,CSCO(4)CVX(5)
趨勢值,0.2342088248
Stock#,AAPL(0)CSCO(4)CVX(5)
趨勢值,0.2680446770
Stock#,AXP(1)CSCO(4)CVX(5)
趨勢值,0.2487259824
Stock#,AAPL(0)AXP(1)CSCO(4)CVX(5)
趨勢值,0.2700019260
Stock#,BA(2)CSCO(4)CVX(5)
趨勢值,0.2774123698
Stock#,AAPL(0)BA(2)CSCO(4)CVX(5)
趨勢值,0.2983595608
