代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10725637.6699999999
真實報酬,725637.6699999999
趨勢值,1.0471868661

選擇檔數,6
找到最佳解世代,1843
找到最佳解實驗,1
Stock#,DIS,HD,JNJ,JPM,KO,MRK,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,15823,8590,13708,15860,38095,27566,
剩餘資金,29.4100000000,34.1999999999,47.3600000000,97.2000000000,9.7500000000,25.6400000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1646254.3300000001,1663230.0000000000,1682156.0400000000,1643351.8000000000,1675808.8000000000,1673557.5000000000,9984362.4700000007,
FS(3),1666824.2300000000,1670016.0999999999,1713547.3600000001,1645096.3999999999,1701332.4500000000,1699193.8799999999,10096014.4200000018,
FS(4),1657963.3499999999,1670617.3999999999,1723828.3600000001,1650488.8000000000,1700570.5500000000,1714630.8400000001,10118103.2999999989,
FS(5),1677583.8699999999,1684361.4000000001,1727940.7600000000,1701558.0000000000,1691427.7500000000,1709668.9600000000,10192544.7400000002,
FS(6),1677742.0999999999,1697504.1000000001,1746172.4000000001,1691090.4000000001,1713141.8999999999,1717387.4399999997,10243042.3400000017,
FS(7),1709546.3300000001,1691834.7000000000,1730545.2800000000,1687442.5999999999,1706284.8000000000,1706361.0399999998,10232018.7500000019,
FS(8),1712869.1599999999,1700424.7000000000,1751381.4400000002,1694738.2000000000,1701713.4000000001,1727311.1999999997,10288442.1000000015,
FS(9),1740559.4099999999,1706781.3000000000,1726295.8000000003,1686966.8000000000,1704380.0500000000,1733651.3799999999,10298638.7400000002,
FS(10),1743724.0100000000,1708413.3999999999,1709297.8800000001,1753896.0000000000,1703999.0999999999,1725381.5800000001,10344715.9700000007,
FS(11),1745306.3099999998,1727483.2000000000,1769887.2400000002,1752627.2000000000,1723808.5000000000,1723727.6199999999,10442844.0700000022,
FS(12),1751477.2799999998,1726366.5000000000,1751929.7600000000,1768963.0000000000,1718856.1499999999,1735029.6799999999,10452626.3699999992,
FS(13),1774262.3999999999,1740625.8999999999,1726432.8800000001,1742952.5999999999,1718475.2000000000,1723176.2999999998,10425929.2800000012,
FS(14),1763977.4500000000,1739079.7000000000,1725199.1599999999,1764998.0000000000,1724951.3500000001,1723451.9600000000,10441661.6200000010,
FS(15),1757806.4800000000,1737189.8999999999,1735891.4000000001,1797828.2000000000,1712380.0000000000,1728138.1799999999,10469238.1600000001,
FS(16),1751635.5100000000,1735128.3000000000,1773314.2400000002,1810516.2000000000,1724189.4500000000,1748261.3599999999,10543049.0600000005,
FS(17),1759230.5500000000,1726624.2000000000,1763170.3200000001,1826852.0000000000,1755808.3000000000,1777756.9799999997,10609446.3500000015,
FS(18),1796098.1399999999,1712880.2000000000,1785925.6000000001,1821618.2000000000,1761522.5500000000,1764525.3000000000,10642573.9900000002,
FS(19),1782015.6699999999,1693466.7999999998,1803334.7600000002,1840333.0000000000,1760379.7000000000,1750190.9800000000,10629724.9100000001,
FS(20),1782173.8999999999,1694669.3999999999,1811833.7200000000,1851435.0000000000,1761141.5999999999,1786578.0999999999,10687835.7200000007,
FS(21),1796889.2900000000,1696731.0000000000,1816631.5200000003,1823204.2000000000,1776379.6000000001,1815798.0600000001,10725637.6699999999,
